職缺名稱,職缺連結,公司名稱,地區,月薪,給薪方式
Java軟體工程師,https://www.cakeresume.com/companies/hitrust/jobs/java-software-engineer-48fe3d,網際威信股份有限公司,38K+ TWD / month,month,
資深前端工程師,https://www.cakeresume.com/companies/hitrust/jobs/senior-front-end-engineer-efa93c,網際威信股份有限公司,40K ~ 60K TWD / year,year,
機器視覺工程師 Machine Learning Engineer,https://www.cakeresume.com/companies/ret-ai-ling-data/jobs/machine-vision-engineer-8a5fa7,聚典資訊 Ret[AI]ling Data,46K ~ 60K TWD / month,month,
軟體工程師（台北/高雄）,https://www.cakeresume.com/companies/ph2-5cd5c7/jobs/2222,瀚將教育科技股份有限公司,32K ~ 45K TWD / month,month,
前端工程師 Frontend Engineer,https://www.cakeresume.com/companies/ret-ai-ling-data/jobs/frontend-engineer-9fad7b,聚典資訊 Ret[AI]ling Data,40K ~ 50K TWD / month,month,
【採線上面談】Front-End Software Engineer / Programmer 前端軟體工程師(台北),https://www.cakeresume.com/companies/titansoft-tw/jobs/c3c331,新加坡商鈦坦科技,50K ~ 75K TWD / month,month,
前端工程師,https://www.cakeresume.com/companies/yungching/jobs/front-end-engineer-a61aa2,永慶房產集團(永慶房屋),40K+ TWD / month,month,
SO | 前端程式開發工程師 (捷運關渡站附近),https://www.cakeresume.com/companies/infotech/jobs/981055,殷富資訊股份有限公司,50K ~ 80K TWD / month,month,
網站開發助理工程師,https://www.cakeresume.com/companies/yungching/jobs/web-development-assistant-engineer,永慶房產集團(永慶房屋),32K ~ 43K TWD / month,month,
【SaaS】測試工程師 / Quality Assurance Engineer ( QA ),https://www.cakeresume.com/companies/mayohr/jobs/test-engineer-99f668,MAYO 鼎恒數位科技,40K ~ 80K TWD / month,month,
【IT】Front-end Engineer/前端工程師,https://www.cakeresume.com/companies/tkb/jobs/it-front-end-engineer,台灣知識庫股份有限公司,35K ~ 50K TWD / month,month,
Javascript前端工程師,https://www.cakeresume.com/companies/ragic/jobs/js-front-end-engineer,Ragic - 立即科技有限公司,40K ~ 100K TWD / month,month,
Full-stack Engineer 全端工程師,https://www.cakeresume.com/companies/no8/jobs/fullstack-engineer-full-end-back-end-engineer,雲發互動科技有限公司,650K ~ 900K TWD / year,year,
Frontend Engineer / 前端工程師,https://www.cakeresume.com/companies/233ab0/jobs/frontend-engineer-front-end-engineer-45c86c,艾克森科技有限公司,1M ~ 1.3M TWD / year,year,
Frontend Engineer - HTML5 工程師（前端遊戲引擎工程師）,https://www.cakeresume.com/companies/233ab0/jobs/581c92,艾克森科技有限公司,650K ~ 1.5M TWD / year,year,
產品應用工程師-Industrial IoT-內湖陽光街,https://www.cakeresume.com/companies/advantech/jobs/38a0cb,Advantech 研華科技,40K+ null / month,month,
【研發新事業體】Frontend Engineer - 前端工程師 (Flutter),https://www.cakeresume.com/companies/ttfb/jobs/2d4401,瓦城泰統股份有限公司,60K ~ 70K TWD / month,month,
研發工程師,https://www.cakeresume.com/companies/trapasecurity/jobs/r-amp-d-engineer-c89cd3,菱鏡股份有限公司 TRAPA Security,50K ~ 100K TWD / month,month,
Java程式工程師,https://www.cakeresume.com/companies/juichisoft-web-index/jobs/java-programmer-1699ec,銳碁資訊股份有限公司,35K ~ 50K TWD / month,month,
【資訊部】系統工程師,https://www.cakeresume.com/companies/knsh/jobs/information-department-system-engineer,康軒文教集團,40K ~ 60K TWD / month,month,
